algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,S_agg_norm_honest,S_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.8347443135579428,0.7419005038340887,nan,0.09577841821469758,0.12005597945302725,1000.0,nan,nan,0,0,0,32034,2.511571721026772,1.5308889478445054,0.0,0.0,0.2790124037096281,0.37825731209928243,1.1033068613002175,0.8158223909139634,0.6852937746268957,0.6852937746268957,0.6852937746268957,0.0,0.44999999999999996,0.9918540478654616,0.816055171508967
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.840394312342008,0.6982173224290212,nan,0.08750621726115544,0.10805718258023261,1000.0,nan,nan,0,0,0,31680,2.459590666823917,1.3221656507253647,0.0,0.0,0.264636759717538,0.3390911008762667,1.2135127186775208,0.7221048536896706,0.7214611380882577,0.7214611380882578,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9909972586451712,0.7997326889658588
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.8450469799836476,0.6619313508272171,nan,0.08109586414965717,0.09788253054022789,1000.0,nan,nan,0,0,0,30700,2.8006480390375312,1.1783249074220656,0.0,0.0,0.2582488997063816,0.3020703443993789,1.3315908800471912,0.6431219932436943,0.7596944884031195,0.7596944884031196,0.7596944884031196,0.0,0.48,0.9906672488457241,0.7923068173859436
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.8487826442718506,0.6319607845942179,nan,0.07466375827789307,0.08878803174942732,1000.0,0.0,nan,0,23,0,30953,2.1704438223558316,1.014190615415573,0.11764705882352941,0.105,0.23364441772900507,0.26830937774882974,1.2225136090727413,0.562890515178442,0.8001526997791857,0.8001526997791858,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.98961656217447,0.7868217532371382
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.8524156445264817,0.6058240121603012,nan,0.06957387593057421,0.0811306070163846,1000.0,0.0,nan,0,9,0,30623,2.372971879111396,0.9141987508535385,0.1111111111111111,0.04,0.23220382008791,0.2388919794042027,1.1445332037078009,0.5006419533491134,0.8430464367132453,0.843046436713245,0.843046436713245,1.1102230246251565e-16,0.51,0.9894216155337672,0.7832671490374473
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.8553056450684865,0.5839550942182541,nan,0.06509745656512678,0.07473069421947003,1000.0,0.0,nan,0,115,0,31135,1.8694592416286469,0.8195521265268326,0.1875,0.56,0.2132146395387844,0.2140657854669438,0.9922702461481094,0.44757119432091713,0.8793723681465166,0.8793723681465165,0.8793723681465164,1.1102230246251565e-16,0.525,0.988757032728954,0.7786329942224712
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.8578109784921011,0.5648917271693548,nan,0.06175524775277485,0.06969610460102559,1000.0,nan,nan,0,177,0,30825,1.935065041888844,0.7370159611105919,0.0,0.885,0.21617150227498294,0.1933757625100327,1.0166241336952557,0.4026756580173969,0.9126284626054435,0.9126284626054436,0.9126284626054437,0.0,0.54,0.9884022979940991,0.7765394622949008
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.8600649780035019,0.5485267118612925,nan,0.057754634879529476,0.06554061515256762,1000.0,nan,nan,0,66,0,30988,1.6295056566596031,0.6952057594060898,0.0,0.33,0.18388984706263767,0.17612809616034977,0.8759915269911289,0.3704200215637684,0.947462263761002,0.947462263761002,0.9474622637610021,0.0,0.555,0.9876479969692463,0.767515720480801
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.8621633120377858,0.5341843916972479,nan,0.05506239621900022,0.06201707193627953,1000.0,nan,nan,0,111,0,30747,1.58755599334836,0.6274656650424003,0.0,0.555,0.19484519723347365,0.16191921934931347,1.075655085965991,0.33795636862516404,0.9839586158871577,0.9839586158871577,0.9839586158871577,0.0,0.57,0.9866804188477628,0.7613689185479641
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.8639646456638972,0.5213700192173322,nan,0.05236197872595354,0.058491373769938945,1000.0,0.0,nan,0,202,0,30818,1.4037198424339294,0.5910646460950375,0.09090909090909091,1.005,0.17173299388439142,0.14998939776127418,0.7562296417626467,0.3136920155584812,1.0222165407481023,1.0222165407481023,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9863040821887796,0.7564128731737092
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.8654646468162537,0.5100677715738614,nan,0.05001457408070564,0.055503125060349705,1000.0,nan,nan,0,80,0,30652,1.479374063014984,0.5458538095653057,0.0,0.4,0.1494690707352603,0.13981422717286193,0.8657608191172282,0.2905321362614632,1.0623545611125644,1.0623545611125642,1.0623545611125642,2.220446049250313e-16,0.6,0.9855002265888966,0.7499659064001122
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.8670173114538193,0.49984187960624693,nan,0.048763773404061794,0.052890261467546225,1000.0,nan,nan,0,167,0,30643,1.450330783923467,0.49316208332777023,0.0,0.835,0.17119030334896443,0.13094755384521342,0.8565811117490133,0.26571353934705255,1.1045192595593833,1.1045192595593836,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.9850794189172277,0.7498687688210134
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.8683969791730245,0.4906884700059891,nan,0.04660643970495776,0.051011227909475564,1000.0,0.0,nan,0,217,0,31161,1.2140251837278668,0.4764535544812679,0.05263157894736842,1.08,0.15825924049896936,0.12322688720517683,0.7746614343241641,0.2511166187375784,1.148899646893674,1.1488996468936743,1.1488996468936743,2.220446049250313e-16,0.63,0.9840623745676399,0.7458778105841285
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.869571312268575,0.48246314853429795,nan,0.04416927494681799,0.04916422463953495,1000.0,0.0,nan,0,152,0,30522,1.4058960997141325,0.45221805706620216,0.15384615384615385,0.75,0.15817260752773754,0.11642944213340424,0.8607012663896267,0.23748537942767142,1.193222654771587,1.1932226547715867,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.983570189995102,0.7408370340703497
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.870523978471756,0.4750193120042483,nan,0.043409183124701184,0.04745295086875558,1000.0,nan,nan,0,229,0,30701,1.1623446742693584,0.43148997113108634,0.0,1.145,0.15273569355561845,0.11050979757752362,0.7607603440682094,0.22559538416564465,1.2237170788729463,1.2237170788729461,1.2237170788729463,2.220446049250313e-16,0.66,0.9828948181171849,0.7361335676015572
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.8715809790293375,0.4682308903336525,nan,0.04169318421433369,0.04586621474474668,1000.0,nan,nan,0,28,0,30830,1.09319702287515,0.41645898461341857,0.0,0.14,0.12196649010464522,0.10531024752096345,0.6116630807518959,0.2170347622036934,1.2553701641143242,1.2553701641143242,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.9824805683398413,0.727571425566957
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.8725389774640401,0.4618820373217265,nan,0.04129789712337347,0.044411847554147246,1000.0,0.0,nan,0,235,0,30659,1.141779193511376,0.38985776364803315,0.38461538461538464,1.15,0.15025226019219254,0.10068680719533173,0.7050447108653876,0.2049190792441368,1.2882265209338717,1.2882265209338717,1.288226520933872,4.440892098500626e-16,0.69,0.9819836170790042,0.7247690471895154
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.8733483125766118,0.45633902857700986,nan,0.03988975593272377,0.04320940963923931,1000.0,0.0,nan,0,287,0,31081,1.068907825385823,0.37501985266804694,0.17647058823529413,1.42,0.1560965708161991,0.0964952185328615,0.798317659427138,0.19510206669569016,1.3223351707503765,1.3223351707503763,1.3223351707503765,2.220446049250313e-16,0.705,0.9809502050988361,0.7201276591976907
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.8742076432704926,0.45100342293580375,nan,0.038737698074649364,0.042234911024570464,1000.0,0.0,nan,0,199,0,31039,0.9095056688084322,0.3631244742870331,0.11764705882352941,0.985,0.11460702964253365,0.09272302364356498,0.5476331745876986,0.18851720221340657,1.3577503788831171,1.3577503788831173,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9801241089975375,0.7125122071555169
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.8749579785267512,0.4460681403676669,nan,0.037691364996135235,0.0411852085776627,1000.0,nan,nan,0,268,0,31150,0.8715001214295626,0.3403153398633003,0.0,1.34,0.1316211692942684,0.08930084979867271,0.6007449142634869,0.1787287612259388,1.3945327218869126,1.3945327218869124,1.3945327218869124,0.0,0.735,0.9794442386579051,0.7096971981547753
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.8755526449282964,0.4417400138576825,nan,0.037334771657531914,0.04023050289601088,1000.0,nan,nan,0,275,0,31229,0.8388849415562369,0.34169106781482694,0.0,1.375,0.12467889730019445,0.08618498857022339,0.6701981235634197,0.17585233993828298,1.432750473426504,1.432750473426504,1.4327504734265044,2.220446049250313e-16,0.75,0.977895560281663,0.7025961394471137
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.8761896443367004,0.43754620959361396,nan,0.036415823735296726,0.039487084168940784,1000.0,0.0,nan,0,156,0,30732,0.9224437773227692,0.313256281465292,0.4166666666666667,0.755,0.1386949324956893,0.08338360099842702,0.6499686911702156,0.16545997135341167,1.4724814279430893,1.4724814279430891,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.9775504260442271,0.7029174816697742
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.8768239782253902,0.433729186753432,nan,0.0354533688380168,0.038516837041825056,1000.0,0.0,nan,0,140,0,30716,0.8883781180931971,0.3126625299453735,0.07692307692307693,0.695,0.11066524740136599,0.08073873992138356,0.5896439368908222,0.16082173980772496,1.5138153326430999,1.5138153326430999,1.5138153326430996,2.220446049250313e-16,0.78,0.9770309716117651,0.6978695208609065
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.877383975982666,0.43018789470195773,nan,0.03521012018124262,0.037845204416662455,1000.0,nan,nan,0,146,0,30664,0.937062161664168,0.29592269942164423,0.0,0.73,0.10622279866684137,0.07827652133234012,0.5422360002994537,0.15436801820993423,1.556857173631695,1.556857173631695,1.5568571736316952,0.0,0.795,0.976614726865461,0.6957182127724539
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.8779099774360657,0.42689238250255584,nan,0.034522313138713005,0.036889767702668906,1000.0,0.0,nan,0,460,0,31896,0.6686206783937372,0.2906833552569151,0.08695652173913043,2.29,0.12028787026337155,0.07592091573498962,0.5063111982915712,0.15030154906213283,1.5961356544147975,1.5961356544147975,1.5961356544147978,4.440892098500626e-16,0.81,0.9752183938445734,0.6944983806032735
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,35,1.6303152389904,0.8783893098433813,0.4237992265820503,nan,0.03322651951263348,0.03623997237533331,1000.0,nan,nan,0,117,0,30657,0.9997889374693235,0.28112583979964256,0.0,0.585,0.12156955021751199,0.07374380647652043,0.7196894710262617,0.14563735015690327,1.6303152389903999,1.6303152389903997,1.6303152389903999,2.220446049250313e-16,0.825,0.9747232951743031,0.6930503137082532
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,36,1.6656394806877934,0.8788436448574066,0.4209093986948331,nan,0.031827999434123434,0.03572732565924525,1000.0,0.0,nan,0,183,0,30747,0.7927126437425613,0.2774388029426336,0.16666666666666666,0.905,0.10234228015123781,0.07171045140203314,0.5162636203070482,0.14267997249960898,1.6656394806877937,1.6656394806877939,1.6656394806877939,4.440892098500626e-16,0.84,0.9743354454882831,0.6884107909365432
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,37,1.7021545775828013,0.879259645541509,0.41827055722475054,nan,0.03283955258401958,0.035104311183094976,1000.0,0.0,nan,0,84,0,30184,1.199468114159324,0.2676536509394646,0.09090909090909091,0.415,0.10612995380642354,0.06982834840476694,0.7882928550243378,0.13851720169186593,1.702154577582801,1.7021545775828013,1.7021545775828018,4.440892098500626e-16,0.855,0.9738408831085081,0.6867347242268413
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,38,1.7399113538860758,0.8795453141132991,0.41599304378032687,nan,0.031785500779127084,0.03447887973859906,1000.0,0.0,nan,0,327,0,31075,0.7962790292998155,0.25604001320898534,0.25,1.605,0.12725982990534113,0.06800598727080268,0.8309640480826298,0.13372280813753604,1.7399113538860755,1.7399113538860758,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9718850451888198,0.6872482855877917
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,39,1.7789660529514504,0.8799739780028661,0.4135952261090279,nan,0.031180804308790427,0.033845399701967836,1000.0,0.0,nan,0,119,0,30539,0.8058408086116498,0.25205786123871804,0.07692307692307693,0.59,0.08885903169073162,0.06631538245262383,0.48060960838427913,0.13014735464006663,1.7789660529514504,1.7789660529514504,1.7789660529514502,2.220446049250313e-16,0.885,0.9713231320622258,0.6856197190595562
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,40,1.8193813121440443,0.8803166459004085,0.4113196478287379,nan,0.03092870923380057,0.03339851244352758,1000.0,0.0,nan,0,335,0,30731,0.7105949461460114,0.24756260134279728,0.26666666666666666,1.655,0.1014256923983912,0.06470618592401603,0.5613859345515569,0.12757560480386018,1.8193813121440439,1.8193813121440445,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9706508410883705,0.6849254323666328
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,41,1.8612273687051577,0.8806916437546413,0.40930088609457016,nan,0.03055583094449147,0.03308718943037093,1000.0,0.0,nan,0,260,0,31166,0.7320220068744991,0.23675926104187967,0.17391304347826086,1.28,0.10100179764057485,0.06318649412620882,0.5307539273863253,0.1229133852571249,1.861227368705158,1.8612273687051581,1.861227368705158,2.220446049250313e-16,0.915,0.9691120407925289,0.6847397962595937
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,42,1.904583560352156,0.8809493128458659,0.40732100546360017,nan,0.029576172520007406,0.03234931815415621,1000.0,0.0,nan,0,204,0,31112,0.6314503742115838,0.23901307620108128,0.07142857142857142,1.015,0.08945147524442976,0.06169486650046107,0.44154895575983183,0.12236671153455973,1.9045835603521566,1.9045835603521555,1.9045835603521557,2.220446049250313e-16,0.9299999999999999,0.9686060445368723,0.6776884853136229
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,43,1.9495402035165759,0.8811979788541794,0.4055749829610189,nan,0.029550429640544787,0.03203141654841602,1000.0,0.0,nan,0,258,0,30966,0.6255681084262,0.22476398065686226,0.2777777777777778,1.265,0.08731316314380104,0.06031200804774821,0.45396440145042205,0.11746244300156831,1.949540203516576,1.9495402035165765,1.9495402035165765,6.661338147750939e-16,0.945,0.9676625731910106,0.6768467674720897
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,44,1.9962009572946733,0.8815406443675359,0.4039551236232122,nan,0.02872134434680144,0.031694648368284103,1000.0,0.0,nan,0,329,0,30983,0.6170389966832267,0.22406965248286725,0.2777777777777778,1.62,0.0948256070045719,0.05904386696575605,0.44893760399685967,0.11510827660560607,1.9962009572946735,1.9962009572946733,1.9962009572946728,4.440892098500626e-16,0.96,0.9667136365341539,0.6768954970614584
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,45,2.044685814238566,0.881754644314448,0.40237885822852454,nan,0.02885928785517102,0.031123770968988537,1000.0,0.0,nan,0,545,0,31241,0.6387533786750975,0.21671566806733608,0.42857142857142855,2.68,0.09651166938799632,0.05778969488540633,0.5105538879122052,0.11257755488157273,2.044685814238566,2.044685814238566,2.0446858142385658,4.440892098500626e-16,0.975,0.9654195465318012,0.6784484460915332
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,46,2.0786677031269156,0.882117978533109,0.4007313414414724,nan,0.027740938080982727,0.030687424838542938,1000.0,nan,nan,0,420,0,30558,0.7622293477708643,0.2154268330335617,0.0,2.1,0.09905399648290407,0.056552401941016225,0.5228614685210314,0.1107802477106452,2.078667703126915,2.078667703126915,2.0786677031269156,0.0,0.99,0.9651965222043482,0.6802811901399427
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,47,2.1134879265457753,0.8823526453971863,0.39942403386036557,nan,0.028330915990997765,0.03035695241764188,1000.0,0.0,nan,0,382,0,31374,0.5627973500420066,0.21315654411911963,0.17647058823529413,1.895,0.08086302942399319,0.05542683264444234,0.38586192490423427,0.10944542363286018,2.1134879265457758,2.113487926545776,2.1134879265457758,4.440892098500626e-16,1.005,0.9644971494579567,0.6768317746222875
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,48,2.1493007737632155,0.8825559784968694,0.3981225844224294,nan,0.028584176335822453,0.02998938069678843,1000.0,0.0,nan,0,157,0,30439,0.908335571939295,0.20308048017323016,0.18181818181818182,0.775,0.11083912403168837,0.05432755862568819,0.7977530062198639,0.10554491765797139,2.1493007737632155,2.1493007737632155,2.1493007737632155,0.0,1.02,0.9641233398241447,0.6776689165283699
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,49,2.1861402047376153,0.8827836445967356,0.396764520406723,nan,0.0274495506151156,0.029704697094857693,1000.0,nan,nan,0,194,0,30494,0.6293631927533583,0.1994435390084982,0.0,0.97,0.06362546438195686,0.05326496901485462,0.35668073323639954,0.1035643134266138,2.1861402047376153,2.1861402047376153,2.1861402047376153,0.0,1.035,0.963811213747567,0.6764281813614997
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,50,2.2240427388792705,0.882954643368721,0.39564919044574104,0.9971577672164758,0.02690485479044063,0.2924445168673992,1000.0,0.917920997920998,1.0,30411,516,0,89,1.2530669910567147,0.20471116185188293,36.857142857142854,152.055,0.0908707011265357,0.0,0.6773483221020017,0.09238684814423323,2.2240427388792696,0.0,2.2240427388792696,8.881784197001252e-16,1.05,0.9633007672738033,0.6554591564209747
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,51,2.2630477569582963,0.883125310142835,0.3945988949139913,0.9978318353952871,0.026464786380529404,0.39277164503932,1000.0,0.8712373737373738,1.0,30384,487,0,43,1.717520453713157,0.27494015365839003,44.27272727272727,151.92,0.09173059564405829,0.0,0.8517016118223016,0.15258096728473902,2.2630477569582967,0.0,2.2630477569582967,4.440892098500626e-16,1.065,0.9630433332879095,0.6374027343402138
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,52,2.303197848143191,0.8828693105777105,0.3945444558064143,0.8486161569004707,0.02646358612065132,1.0591261494159698,1000.0,1.0,0.7486807673284299,30270,500,130,80,0.5711001868431385,0.7413883064687252,28.46153846153846,152.0,0.06419979527662464,0.0,0.34101850711382353,0.37236476100981236,2.3031978481431916,0.0,2.3031978481431916,4.440892098500626e-16,1.08,0.9625967405562736,0.6248513338138812
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,53,2.344539209861966,0.8812776454289755,0.39858222484588623,0.7039431847182869,0.02525771378229062,3.849139023423195,1000.0,0.9090909090909091,0.54878500642631,30149,456,206,95,0.6667777225375175,2.6943972897529602,20.833333333333332,151.775,0.07791973021963522,0.0,0.4675108566880226,1.2838880336284637,2.3445392098619666,0.0,2.3445392098619666,4.440892098500626e-16,1.095,0.9620284787660368,0.6178904875101663
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,54,2.3871221095865076,0.8740823114911715,0.4314234439531962,0.5376980303326832,0.02537617547547116,12.115267565250397,1000.0,0.8313609467455622,0.3978913560375528,30122,632,406,134,1.185954956447377,8.480687173604965,13.294117647058824,152.64,0.09263551320184389,0.0,0.6393971320460824,4.026979469656944,2.3871221095865067,0.0,2.3871221095865067,8.881784197001252e-16,1.11,0.9612727888881286,0.6083256623449036
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,55,2.431001419315337,0.8825663115580876,0.3948386336366336,0.9593500783602704,0.03515874293561165,41.07361840724945,1000.0,0.9975308641975309,0.9349640795323544,30287,415,27,83,1.260315647492042,28.75153235912323,29.846153846153847,151.57,0.08170638641587247,0.0,0.6903912310416882,13.698207876682282,2.431001419315337,0.0,2.431001419315337,0.0,1.125,0.9607920875670879,0.5989079695301746
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,56,2.4762372355197746,0.8837443119287491,0.3905707296729088,0.9988385598141696,0.024426889419555665,144.98100778579712,1000.0,0.9976958525345623,1.0,30208,309,0,49,1.376356065273285,101.48670358657837,30.9,151.04,0.08058366752265123,0.0,0.7653273165225982,48.42258888721466,2.476237235519775,0.0,2.476237235519775,4.440892098500626e-16,1.1400000000000001,0.9605022342111126,0.5862879024454564
