algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.5113527522630372,0.8526933101812998,0.6070362730820974,nan,0.8518683542223537,0.09505335625261069,1000.0,0.0,nan,0,30763,0,213,0.17139021412688582,0.00171594213868957,3105.2318677956837,0.0,0.951830489478735,0.0,214.72227747300093,0.0,1.0968033094184892,0.0,214.72227747300093,0.0,0.951830489478735,0.0,0.9160284224678489,0.0,1.0968033094184892,1.1119798024503882,0.9160284224678489,0.951830489478735,12.167595723470052,175.96313917508874
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.5113527522630372,0.8560523130496343,0.583876503109932,nan,0.9330501655737559,0.09330476384609937,1000.0,0.0,nan,0,30427,0,205,0.16110953354897598,0.001796391088864766,3298.140082914995,0.0,0.9290061181478966,0.0,209.9296129014757,0.0,1.1329172516272028,0.0,209.9296129014757,0.0,0.9290061181478966,0.0,0.931388603316413,0.0,1.1329172516272028,1.1187603025490696,0.931388603316413,0.9290061181478966,6.297888387044271,98.94420248744987
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.5323147984117913,0.8586539787054062,0.5640223546822866,nan,0.9175800736993551,0.09130128340795636,1000.0,0.0,nan,0,31039,0,211,0.08983607953268802,0.0017138828407041728,3555.9553689118775,0.0,0.9408561904508932,0.0,212.27925300598145,0.0,1.1873267274271957,0.0,212.27925300598145,0.0,0.9408561904508932,0.0,0.9068810604512691,0.0,1.1873267274271957,1.1274657938180195,0.9068810604512691,0.9408561904508932,11.321560160319011,189.65095300863348
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.5770385101908735,0.8609723109006882,0.5468528044223785,nan,0.9983388808640566,0.08854048969224096,1000.0,0.0,nan,0,30795,0,207,0.16869725593873722,0.0018695328291505576,3678.8523840351163,0.0,0.9219275365914652,0.0,208.0919744318182,0.0,1.2177316969953462,0.0,208.0919744318182,0.0,0.9219275365914652,0.0,0.9181080135432157,0.0,1.2177316969953462,1.133575377099301,0.9181080135432157,0.9219275365914652,7.6300390625,134.89125408128763
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.626898729085254,0.8630223125219345,0.5317933883269628,nan,0.7168154884129763,0.08656058607622981,1000.0,0.0,nan,0,30844,0,210,0.1694150123075815,0.0015474085084861144,3758.6603832094634,0.0,0.9410188284142553,0.0,212.28228569030762,0.0,1.2895963999341917,0.0,212.28228569030762,0.0,0.9410188284142553,0.0,0.8846058174967766,0.0,1.2895963999341917,1.1389973312727364,0.8846058174967766,0.9410188284142553,11.321721903483073,200.4618871045047
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,2.681773133119602,0.8650116451581319,0.5188735454281171,nan,0.8244926147162914,0.08578956685960293,1000.0,0.0,nan,0,30646,0,212,0.19427847360930173,0.0015149612148525192,4005.3134546664314,0.0,0.9357036936818072,0.0,211.08313083648682,0.0,1.3551870815615015,0.0,211.08313083648682,0.0,0.9357036936818072,0.0,0.8797592911869287,0.0,1.3551870815615015,1.1424965903830657,0.8797592911869287,0.9357036936818072,11.257766977945964,213.61671758220967
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,2.7414324404760406,0.8665909787019094,0.5071081793308259,nan,0.8922721960327842,0.08350836530327797,1000.0,0.0,nan,0,30813,0,207,0.11864033017561516,0.0016155483236070722,4189.527852420008,0.0,0.9149583060248407,0.0,206.34704451127485,0.0,1.4024882682004445,0.0,206.34704451127485,0.0,0.9149583060248407,0.0,0.8935870365663008,0.0,1.4024882682004445,1.1436659736775654,0.8935870365663008,0.9149583060248407,7.566058298746745,153.61602125540026
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.0649808438595425,0.8680483128627141,0.49675274660189944,nan,0.7496862808863322,0.08459303246811033,1000.0,0.0,nan,0,30521,0,211,0.21350331376306714,0.001613553266506642,4176.844362445438,0.0,0.9137487229131196,0.0,206.0881113688151,0.0,1.4539139991189147,0.0,206.0881113688151,0.0,0.9137487229131196,0.0,0.8839447895685831,0.0,1.4539139991189147,1.1471322618243835,0.8839447895685831,0.9137487229131196,10.304405568440755,208.84221812227185
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.0649808438595425,0.8694853127002716,0.48726799021164574,nan,0.8682429268956184,0.08118030350655317,1000.0,0.0,nan,0,30603,0,207,0.12367097577468182,0.00172552265052218,4476.763533289716,0.0,0.9466879346145954,0.0,213.6582120259603,0.0,1.4875432040650596,0.0,213.6582120259603,0.0,0.9466879346145954,0.0,0.8320918654402097,0.0,1.4875432040650596,1.1500058762745589,0.8320918654402097,0.9466879346145954,8.546328481038412,179.07054133158866
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.0649808438595425,0.8706793111562728,0.47908304691314696,nan,0.9155779857384531,0.08435084102675319,1000.0,0.0,nan,0,31162,0,216,0.13032219630028857,0.001370935509330593,4659.306455516972,0.0,0.9237417445706183,0.0,208.28848186292146,0.0,1.5421043424868397,0.0,208.28848186292146,0.0,0.9237417445706183,0.0,0.8489469070183603,0.0,1.5421043424868397,1.1527850560740653,0.8489469070183603,0.9237417445706183,13.191603851318359,295.08940884940824
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.0649808438595425,0.8716859793663025,0.4715075957775116,nan,0.9560725482610556,0.08235331507399678,1000.0,0.0,nan,0,30465,0,209,0.15513204220825663,0.0013905800267821177,4650.008376232637,0.0,0.8826933114152806,0.0,199.41915306678186,0.0,1.6063603310892252,0.0,199.41915306678186,0.0,0.8826933114152806,0.0,0.8890421894880441,0.0,1.6063603310892252,1.1521065152429832,0.8890421894880441,0.8826933114152806,8.64149663289388,201.5003629700809
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.100161823503406,0.8725499773025512,0.4648876594503721,nan,0.7857926547527313,0.08161355573683977,1000.0,0.0,nan,0,30719,0,211,0.08019521857301394,0.0015071397926658392,4999.307529671894,0.0,0.9214656950355722,0.0,207.96807047526042,0.0,1.661464098902279,0.0,207.96807047526042,0.0,0.9214656950355722,0.0,0.8285875181357066,0.0,1.661464098902279,1.1508101682739087,0.8285875181357066,0.9214656950355722,10.39840352376302,249.96537648359478
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.229720195782609,0.8736776459217072,0.45835929572582246,nan,0.7278974254926046,0.08019220577552914,1000.0,0.0,nan,0,30649,0,209,0.09606573420266311,0.0012749046139651909,4665.478710803621,0.0,0.8386965827258375,0.0,189.14338302612305,0.0,1.739217839824654,0.0,189.14338302612305,0.0,0.8386965827258375,0.0,0.9230922708908716,0.0,1.739217839824654,1.1465759408548732,0.9230922708908716,0.8386965827258375,7.565735321044922,186.6191484321448
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,3.266090579530224,0.8746106447776159,0.4523837016026179,nan,0.8671140579076914,0.07964151902124286,1000.0,0.0,nan,0,30686,0,208,0.08745321020698892,0.0011954418109962717,4947.480840168584,0.0,0.896369780169298,0.0,202.14837059607873,0.0,1.7992681974498737,0.0,202.14837059607873,0.0,0.896369780169298,0.0,0.8374710633204534,0.0,1.7992681974498737,1.1435114920355471,0.8374710633204534,0.896369780169298,8.759762725830079,214.39083640730533
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,3.305505075087925,0.8753376454114914,0.4474401188890139,nan,0.9607957969693577,0.07896992525085807,1000.0,0.0,nan,0,31154,0,214,0.13172424818142592,0.0012827509670751169,5231.3369047962515,0.0,0.8909890317362891,0.0,200.9927287382238,0.0,1.8508861649922408,0.0,200.9927287382238,0.0,0.8909890317362891,0.0,0.8328360424322241,0.0,1.8508861649922408,1.1413894640923026,0.8328360424322241,0.8909890317362891,11.389587961832682,296.44242460512095
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,3.335308650633853,0.8760613117615382,0.44264253894488015,nan,0.8565603301805609,0.07885938698425889,1000.0,0.0,nan,0,31023,0,215,0.10811197686502162,0.0011078053701203316,5084.801159701372,0.0,0.8688681459834859,0.0,195.8148489559398,0.0,1.9050859035178132,0.0,195.8148489559398,0.0,0.8688681459834859,0.0,0.8503746530588936,0.0,1.9050859035178132,1.141384926435772,0.8503746530588936,0.8688681459834859,11.096174774169922,288.13873238307775
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,3.370974349797376,0.8766939773162206,0.4380659211675326,nan,0.8316042814403772,0.07930658210068942,1000.0,0.0,nan,0,31207,0,211,0.06916626556630945,0.001282551814801991,5437.757034897688,0.0,0.8769833086413343,0.0,197.66289234161377,0.0,1.9504413262484512,0.0,197.66289234161377,0.0,0.8769833086413343,0.0,0.8279753997921944,0.0,1.9504413262484512,1.1409125012496435,0.8279753997921944,0.8769833086413343,10.542020924886067,290.0137085278767
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,3.421415943367621,0.8772783106565476,0.4339962196350098,nan,0.8668342882936652,0.08037041680887341,1000.0,0.0,nan,0,31287,0,217,0.12686581563585522,0.0011070256220409647,5394.337105402867,0.0,0.8663052823968936,0.0,195.51554177024147,0.0,2.0308144341127727,0.0,195.51554177024147,0.0,0.8663052823968936,0.0,0.8306101845069365,0.0,2.0308144341127727,1.131602988419731,0.8306101845069365,0.8663052823968936,14.337806396484375,395.5847210628769
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,3.4562171457165083,0.8778096463282903,0.4302179985245069,nan,1.1145151530702908,0.07947128595784307,1000.0,0.0,nan,0,30680,0,208,0.09795577584494215,0.001202371492399834,5529.495225713771,0.0,0.8596094510420106,0.0,193.60610326131186,0.0,2.0642598905379304,0.0,193.60610326131186,0.0,0.8596094510420106,0.0,0.827986886103948,0.0,2.0642598905379304,1.1308042433297174,0.827986886103948,0.8596094510420106,7.744244130452474,221.17980902855086
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,3.5061202247651524,0.8783833122253418,0.42676632265249886,nan,1.0149728495341082,0.07958438700065017,1000.0,0.0,nan,0,30647,0,209,0.10444522460994239,0.0011449642886873334,5183.6492774704975,0.0,0.7941335952853288,0.0,179.2230424147386,0.0,2.123188981492905,0.0,179.2230424147386,0.0,0.7941335952853288,0.0,0.9063765773406396,0.0,2.123188981492905,1.1244030498297692,0.9063765773406396,0.7941335952853288,7.766331837972005,224.62480202372157
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,3.5609487158710795,0.8788926454385122,0.42342947085698446,nan,0.9630394677321116,0.07797449260950089,1000.0,0.0,nan,0,30602,0,208,0.0836148884651872,0.0009806865287828258,5337.722037802127,0.0,0.8569927007926972,0.0,193.1256217956543,0.0,2.16607445486229,0.0,193.1256217956543,0.0,0.8569927007926972,0.0,0.8079504668712616,0.0,2.16607445486229,1.1169945835586879,0.8079504668712616,0.8569927007926972,7.725024871826172,213.50888151208505
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,3.620645994842278,0.8791153120994568,0.4210858831803004,nan,1.0992545511411584,0.07875266727060079,1000.0,0.0,nan,0,32136,0,220,0.07420175604056567,0.0011598551482893526,5582.003696753147,0.0,0.8617788921612238,0.0,194.31102122431216,0.0,2.2103945936281244,0.0,194.31102122431216,0.0,0.8617788921612238,0.0,0.7892458218595256,0.0,2.2103945936281244,1.1195555754318418,0.7892458218595256,0.8617788921612238,14.897178293863933,427.95361675107466
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,3.685078640472122,0.8796136450767517,0.4180671571691831,nan,1.0200057675441105,0.08043796027079225,1000.0,0.0,nan,0,30565,0,209,0.1377747169851015,0.0012652172788511962,5615.307266846347,0.0,0.8414446961661306,0.0,189.76111348470053,0.0,2.24830604459668,0.0,189.76111348470053,0.0,0.8414446961661306,0.0,0.8059331377347311,0.0,2.24830604459668,1.116631361938271,0.8059331377347311,0.8414446961661306,7.590444539388021,224.61229067385392
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,3.7824607976128384,0.8801463105281194,0.4151609269777934,nan,0.7725107669830322,0.07850196477025748,1000.0,0.0,nan,0,30722,0,208,0.13217329767455036,0.0010461702762404456,5975.429879662723,0.0,0.8230267441882401,0.0,185.5873285929362,0.0,2.2917037975818584,0.0,185.5873285929362,0.0,0.8230267441882401,0.0,0.8203315585851669,0.0,2.2917037975818584,1.1070497353889281,0.8203315585851669,0.8230267441882401,7.423493143717448,239.01719518650887
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,3.827333565551222,0.8804239767789841,0.41306513766447706,nan,1.055902136997743,0.08055067763663828,1000.0,0.0,nan,0,30061,0,207,0.22224026719446888,0.0009099343817797489,5692.513219685509,0.0,0.8180049736211307,0.0,184.5659873268821,0.0,2.339445157993339,0.0,184.5659873268821,0.0,0.8180049736211307,0.0,0.8157458847219293,0.0,2.339445157993339,1.0975870479535,0.8157458847219293,0.8180049736211307,6.767419535319011,208.72548472180202
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,3.9046646684598763,0.880698310136795,0.4112590538462003,nan,1.089166986445586,0.07808374378830195,1000.0,0.0,nan,0,31183,0,219,0.1596725306008011,0.0008890396897913888,6141.467172998324,0.0,0.8568075491925867,0.0,193.13224411010742,0.0,2.375318535766722,0.0,193.13224411010742,0.0,0.8568075491925867,0.0,0.7471035247047743,0.0,2.375318535766722,1.1030865410630957,0.7471035247047743,0.8568075491925867,15.450579528808595,491.3173738398659
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,4.071181334460618,0.88100164492925,0.4091673563917478,nan,0.9394717056017655,0.07936369692906738,1000.0,0.0,nan,0,30449,0,209,0.13393754948181316,0.0010003135184524581,5569.993835295687,0.0,0.7927555142738657,0.0,178.9515181321364,0.0,2.4166982562705828,0.0,178.9515181321364,0.0,0.7927555142738657,0.0,0.8291153311729431,0.0,2.4166982562705828,1.1012423372080895,0.8291153311729431,0.7927555142738657,7.754565785725911,241.36639952947976
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,4.071181334460618,0.8814296432336172,0.4069243775804838,nan,1.1516712427139282,0.07976843767799437,1000.0,0.0,nan,0,30854,0,212,0.1916674008437743,0.001018053990555927,5915.848441554662,0.0,0.796628430566533,0.0,179.95106811523436,0.0,2.458305814570403,0.0,179.95106811523436,0.0,0.796628430566533,0.0,0.8115700324376424,0.0,2.458305814570403,1.0992827133762944,0.8115700324376424,0.796628430566533,8.99755340576172,295.79242207773314
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.071181334460618,0.8813913104931513,0.4062087301413218,nan,1.3625925597937212,0.08051549298688769,1000.0,0.0,nan,0,31206,0,220,0.38154932222349325,0.0009620415154495276,5990.354676170193,0.0,0.8006805957769574,0.0,180.56723221488622,0.0,2.489507618221416,0.0,180.56723221488622,0.0,0.8006805957769574,0.0,0.7935202380885249,0.0,2.489507618221416,1.1147879787804813,0.7935202380885249,0.8006805957769574,13.843487803141276,459.2605251730481
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.24949817428469,0.8818759785095851,0.40371327777703603,nan,0.9189786378826413,0.08047540969215333,1000.0,0.0,nan,0,31106,0,210,0.19820413465744682,0.000982956453517545,6017.444452252761,0.0,0.791402850802924,0.0,178.80432346888952,0.0,2.537923859989553,0.0,178.80432346888952,0.0,0.791402850802924,0.0,0.7955152860709599,0.0,2.537923859989553,1.1111985347231486,0.7955152860709599,0.791402850802924,8.34420176188151,280.81407443846217
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.343509761970973,0.8819786445299784,0.40261573672294615,nan,1.1066467000378504,0.0810366187337786,1000.0,0.0,nan,0,31011,0,213,0.07653671147353533,0.0009621973527828232,5667.768672014446,0.0,0.7943231953142279,0.0,179.414065890842,0.0,2.603367878787895,0.0,179.414065890842,0.0,0.7943231953142279,0.0,0.7789206918742921,0.0,2.603367878787895,1.103972517841474,0.7789206918742921,0.7943231953142279,10.764843953450521,340.06612032086673
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.690304008847463,0.8822256455818812,0.4009606728951136,nan,1.0454362614287271,0.0810064573213458,1000.0,0.0,nan,0,31098,0,214,0.05976277826509128,0.0008699360513128341,6078.713870242338,0.0,0.7883277398599452,0.0,177.80772569444446,0.0,2.6678294960894116,0.0,177.80772569444446,0.0,0.7883277398599452,0.0,0.7759578277667364,0.0,2.6678294960894116,1.0965927912451068,0.7759578277667364,0.7883277398599452,10.668463541666666,364.7228322145403
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,5.078665764203794,0.8822829765081406,0.40015869071086246,nan,1.2971351515679133,0.08128182873129845,1000.0,0.0,nan,0,31570,0,216,0.18978257724804626,0.0008529254503082484,6063.10047634678,0.0,0.7822154525681869,0.0,176.53545924595423,0.0,2.7009363427010498,0.0,176.53545924595423,0.0,0.7822154525681869,0.0,0.7732419740586054,0.0,2.7009363427010498,1.1125453605383635,0.7732419740586054,0.7822154525681869,12.357482147216796,424.4170333442746
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,5.1302971577061625,0.8827989792823792,0.39821168621381126,nan,1.2487336803566327,0.082502121925354,1000.0,0.0,nan,0,30772,0,206,0.519265519539741,0.0008719392542843706,6223.776530515079,0.0,0.7681280027959311,0.0,173.049560546875,0.0,2.736335501600679,0.0,173.049560546875,0.0,0.7681280027959311,0.0,0.783228413625197,0.0,2.736335501600679,1.1104971469724219,0.783228413625197,0.7681280027959311,6.345150553385417,228.20513945221958
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,5.1302971577061625,0.8825983093182246,0.39774819602568945,nan,1.5017693936824799,0.08084341489709913,1000.0,0.0,nan,0,31542,0,214,0.29959030652774826,0.0008653028911794536,5702.427123147008,0.0,0.7409869861929937,0.0,167.11903022317324,0.0,2.7930419428669886,0.0,167.11903022317324,0.0,0.7409869861929937,0.0,0.8144251248415779,0.0,2.7930419428669886,1.114458501830636,0.8144251248415779,0.7409869861929937,9.47007837931315,323.13753697833044
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,5.1302971577061625,0.8829316421349843,0.3963803365826607,nan,1.2751157121224836,0.08055868724361062,1000.0,0.0,nan,0,30390,0,206,0.28774191824380646,0.001082111371215433,6534.26526867272,0.0,0.812511453561401,0.0,183.46049915660512,0.0,2.808008190443883,0.0,183.46049915660512,0.0,0.812511453561401,0.0,0.6869210384108804,0.0,2.808008190443883,1.1176475485273925,0.6869210384108804,0.812511453561401,6.726884969075521,239.58972651799965
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,5.1302971577061625,0.8830523107449214,0.39544436991214754,nan,1.5719451362436467,0.08204294478520752,1000.0,0.0,nan,0,30481,0,207,0.3237744351658462,0.0008549119182862341,5881.366872820602,0.0,0.7430654943422756,0.0,167.66361860795453,0.0,2.821948101399559,0.0,167.66361860795453,0.0,0.7430654943422756,0.0,0.7870821410959418,0.0,2.821948101399559,1.1321773416504761,0.7870821410959418,0.7430654943422756,6.147666015625,215.65011867008874
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,5.1302971577061625,0.8800633132457734,0.4039242164293925,0.8192761468476119,1.3935255344424928,0.413629245609045,1000.0,0.6551155690287302,0.8886752390857717,30202,603,209,2,0.09792561775871686,0.023976174695417286,5930.534739563853,0.0,0.7267117302170759,0.0,163.8551962716239,0.0,2.8824823509073827,0.0,163.8551962716239,0.0,0.7267117302170759,0.0,0.8018549127238137,0.0,2.8824823509073827,1.1339745216487132,0.8018549127238137,0.7267117302170759,7.646575826009115,276.7582878463131
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.8755403105417887,0.43204619924227394,0.9607381760119934,1.3608933307907798,0.5519680459797383,1000.0,0.5975848685664933,0.9838211747366713,30181,527,203,3,0.3939231383529576,0.06066090077161789,6030.518037751223,0.0,0.7164555847840877,0.0,161.88159040971235,0.0,2.9221017777422404,0.0,161.88159040971235,0.0,0.7164555847840877,0.0,0.8068928230892528,0.0,2.9221017777422404,1.1391841392669748,0.8068928230892528,0.7164555847840877,5.935658315022787,221.11899471754484
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.8607233138382435,1.0766735345125198,0.8600691776646503,1.3234378810112293,1.9371292304992676,1000.0,0.5665657812435558,0.9283600046130727,30193,578,207,2,0.2333940061239096,0.09315201055258512,5947.661597570024,0.0,0.7158982793058567,0.0,161.48257328913763,0.0,2.979600078652902,0.0,161.48257328913763,0.0,0.7158982793058567,0.0,0.7973165145287147,0.0,2.979600078652902,1.146697763332007,0.7973165145287147,0.7158982793058567,6.99757817586263,257.7320025613677
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.8514176461100579,3.2095994329452515,0.8704605178423745,1.038660705089569,4.602654120922089,1000.0,0.6658192850529708,0.966539054460226,30147,549,208,2,0.27857838695247966,0.2161678373068571,6593.263684290233,0.0,0.7307276340868197,0.0,164.70304234822592,0.0,3.021689672513631,0.0,164.70304234822592,0.0,0.7307276340868197,0.0,0.7601889272530874,0.0,3.021689672513631,1.1508678097706118,0.7601889272530874,0.7307276340868197,6.588121693929036,263.7305473716093
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.8565963122745355,24.418284945189953,0.9001106240980854,1.3239080375608276,16.1375169467926,1000.0,0.5434385917143982,0.9927885916679514,30324,756,204,10,0.6395859350176418,0.8512530103325844,6073.77988740115,0.0,0.7436899246632516,0.0,167.6615151798024,0.0,3.0689700470032415,0.0,167.6615151798024,0.0,0.7436899246632516,0.0,0.7238229859401198,0.0,3.0689700470032415,1.1662292843040136,0.7238229859401198,0.7436899246632516,9.500819193522135,344.1808602860651
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,5.231113479588245,0.8705419786771138,0.6012546491622924,0.9330292533789195,1.0766747708504016,69.46450061798096,1000.0,0.6073523224055472,1.0,30214,391,100,107,0.2854438378260686,6.892804373800755,5298.611139601389,0.0,0.7781443051228896,0.0,175.69534184382513,0.0,3.0976026822175444,0.0,175.69534184382513,0.0,0.7781443051228896,0.0,0.6512790348094243,0.0,3.0976026822175444,1.178006510746123,0.6512790348094243,0.7781443051228896,7.613464813232422,229.6064827160602
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,5.387102109771749,0.8772653104861577,0.4266581098238627,0.9464514276428023,0.9484303504228592,176.8214675140381,1000.0,0.6300180405608036,1.0,30106,254,102,104,0.5426378577947617,8.609813686609268,6719.144643358903,0.0,0.7100844315400711,0.0,160.40652770996093,0.0,3.139329082818192,0.0,160.40652770996093,0.0,0.7100844315400711,0.0,0.7619551658630371,0.0,3.139329082818192,1.1754858716957826,0.7619551658630371,0.7100844315400711,5.346884256998698,223.9714881119634
