algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.7684398890787185,0.8380113134781519,0.7248223586877187,nan,0.7694995811111048,4.513434227705002,1000.0,0.0,nan,0,31819,0,215,0.9274619170066832,0.9698274745732144,0.9749960617015236,0.9281748795509338,209.34821359734786,218.7205319213867,2258.543127874383,1167.3467143732623,0.5158056020736694,1.3559743282198906,0.9274619170066832,0.9698274745732144,0.9379514918405378,2.6819163136424713,209.34821359734786,218.7205319213867,1.6355374205613116,1.19525973240792,0.932236991244364,0.9661519239167572,95.44344488525391,552.7633246085314
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.861239527460234,0.8432766455411911,0.6833708874384562,nan,0.8783280849456787,4.865338675975799,1000.0,0.0,nan,0,31467,0,213,0.9344791301801622,0.9508153812379002,0.9568614396784041,0.9386256408691406,210.80095418294272,214.4936474609375,2495.6757797251817,1058.8977634235096,0.5060291025373671,6.3849421775341035,0.9344791301801622,0.9508153812379002,1.0064461609730577,2.748852518900947,210.80095418294272,214.4936474609375,1.7034087041442132,1.205208324706679,0.9401313490277037,0.9494665164716649,93.38629333496094,513.4034334395104
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.9777045531093433,0.8474663136402766,0.6491149600346883,nan,0.8987708254293962,5.135557374954224,1000.0,0.0,nan,0,30495,0,205,0.9361869117717435,0.9439032214498744,0.9444522044875405,0.9357520896196365,210.96860712224787,212.85629928588867,2693.6064490547706,955.5557351708978,0.49595632607286627,13.902700714319945,0.9361869117717435,0.9439032214498744,1.0498209942687682,2.8234832565022767,210.96860712224787,212.85629928588867,1.7592858991621716,1.2218845340562974,0.9362056501103804,0.9435009493813462,89.78382907104492,441.4816359475641
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,3.065615432203928,0.8509616442521413,0.6206390196084977,nan,0.8653492717181935,5.271516993045807,1000.0,0.0,nan,0,30761,0,215,0.9440502292215354,0.9550071827281792,0.9248888036784004,0.9124107140302659,212.86998075597427,215.5210159301758,2928.403128917449,865.5615163216039,0.5369999321068034,17.01079838812351,0.9440502292215354,0.9550071827281792,1.102435313261317,2.8922742694036514,212.86998075597427,215.5210159301758,1.8183708957182507,1.2338599990911365,0.9133882602238985,0.9541488038820367,93.44598571777344,445.7903129118348
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,3.18117637414339,0.8543486450115839,0.5960621460278829,nan,0.9500162667698331,5.4676142501831055,1000.0,0.0,nan,0,30430,0,202,0.9208566884425124,0.953373538666795,0.9407626787821451,0.9033593979477882,208.18899197048611,215.01622421264648,3086.5848063430735,803.6351408010116,1.091450896528032,12.90530046954751,0.9208566884425124,0.953373538666795,1.1388055196723166,2.963505875951804,208.18899197048611,215.01622421264648,1.8686856621841117,1.2503131561651548,0.9049700655435261,0.9519732915279502,89.75389154052735,377.01258283458
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,3.3151575384038123,0.8570829776922861,0.5752464054028193,nan,0.9331684093922377,5.710973722934723,1000.0,0.0,nan,0,31039,0,211,0.9313538827982769,0.9428904874756896,0.9179211668670177,0.9045175445079804,209.7243299484253,212.70347450256347,3328.21838713737,745.4935296812487,0.46687207370996475,10.184891840666532,0.9313538827982769,0.9428904874756896,1.1932162826344639,3.0433880976535495,209.7243299484253,212.70347450256347,1.9332850086420978,1.2646380030690758,0.9055104054234646,0.9420359241662517,91.792568359375,404.7004002608953
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,3.4515457511106336,0.8595309776067733,0.5571242026487986,nan,1.0168746249242262,5.944329755306244,1000.0,0.0,nan,0,30797,0,205,0.912737142833403,0.9323530471325051,0.928893040526997,0.9058735635876656,206.13362676447088,210.33532173156738,3462.352621063004,700.4827509229958,0.7800104238770225,19.82455006480217,0.912737142833403,0.9323530471325051,1.2244033856419996,3.1369487802240457,206.13362676447088,210.33532173156738,1.989421543474818,1.291339300169946,0.9070736311058297,0.9313304170505615,88.66906848144531,356.36485803258444
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,3.5085456104459944,0.8615813112258911,0.5414542603492737,nan,0.7591395992785692,6.082532334327698,1000.0,0.0,nan,0,30842,0,212,0.9222019433523905,0.9324252959137206,0.9069095626473427,0.8947917732596398,208.17986965179443,210.341245803833,3671.21700273974,653.2959871490822,0.4823302496224642,14.062485750168563,0.9222019433523905,0.9324252959137206,1.296782159961165,3.2304765858453037,208.17986965179443,210.341245803833,2.070259930314821,1.3026698245068755,0.8956893872883585,0.9316680105388071,90.79825415039062,378.7973389473045
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.546698502812578,0.8636263114213943,0.5276312679052353,nan,0.8315455392003059,6.234035670757294,1000.0,0.0,nan,0,30646,0,212,0.9319984387044655,0.9289633707217356,0.8841952867805958,0.8878289228677749,210.11042881011963,209.5428776550293,3901.26927413911,622.2344404263678,0.4481690563261509,21.839733914881943,0.9319984387044655,0.9289633707217356,1.362411505016859,3.3204676750239357,210.11042881011963,209.5428776550293,2.14563397301969,1.3138224674894141,0.887559764639095,0.9291881905723082,90.54068478393555,373.7343929429987
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.585090355618494,0.8652849795420965,0.5155346607168515,nan,0.9363018761981617,6.369719276428222,1000.0,0.0,nan,0,30814,0,206,0.8953045329767839,0.9258073078827614,0.9173533537171104,0.8804678854346275,202.0066278631037,208.8161555480957,3961.6432712866585,584.6922026819323,0.4338395649736578,13.450969966500997,0.8953045329767839,0.9258073078827614,1.4103174924790534,3.395878347830136,202.0066278631037,208.8161555480957,2.2045418346194867,1.3239909390470137,0.8823908245394015,0.9242171158260518,87.97060803222656,321.0330330410794
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.6270973500198354,0.866757647395134,0.5045957156022389,nan,0.7778731723626454,6.487406058311462,1000.0,0.0,nan,0,30523,0,209,0.8937966295997689,0.9232366576430704,0.9083143313725789,0.8723561999201774,201.37881469726562,208.2291795349121,4110.323570302572,566.1350015936224,0.45518797437349956,23.970040826797486,0.8937966295997689,0.9232366576430704,1.462044705502164,3.4571522251762064,201.37881469726562,208.2291795349121,2.2600877133717807,1.3286839061816962,0.8748649067656938,0.9211827021981889,89.33303625488281,349.7637077465261
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.663238723892728,0.8681493113438289,0.494825012087822,nan,0.9289412001768748,6.55053102016449,1000.0,0.0,nan,0,30603,0,207,0.9113466785484045,0.925130089686085,0.8756915976603826,0.8586873057484626,205.53215535481772,208.6996029663086,4335.4741510965705,546.9988918911739,0.531304749349753,12.403646703660488,0.9113466785484045,0.925130089686085,1.4958519988693855,3.5101080018650332,205.53215535481772,208.6996029663086,2.3015544000676447,1.3364422163088938,0.8596498128378166,0.9243498966028203,88.41261291503906,322.8509363827873
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.708583821983682,0.8693656450510026,0.4861686211824417,nan,0.9137991996187913,6.627058804035187,1000.0,0.0,nan,0,31164,0,214,0.9232897449190214,0.92416009565298,0.849510133266449,0.8484256094694138,208.25222055535568,208.46429542541503,4524.3290225730825,531.6447788770769,0.41420943172354446,12.208164317309857,0.9232897449190214,0.92416009565298,1.5507205628516665,3.553609514998442,208.25222055535568,208.46429542541503,2.351876143710377,1.3331512086538289,0.8485197005750926,0.9240845857719515,91.29930255126953,384.58241440860786
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.73980565934293,0.8704229785998663,0.4783729612827301,nan,0.9726607020084674,6.7815963697433475,1000.0,0.0,nan,0,30466,0,208,0.8757687495678946,0.9142303733752982,0.8977574430979215,0.8493496429920196,197.24226966271033,206.22419860839844,4538.848385289117,516.1251463293046,0.3976300679720365,29.19675581008196,0.8757687495678946,0.9142303733752982,1.6153664929229345,3.6016170312379847,197.24226966271033,206.22419860839844,2.4098667082489547,1.3258616438260071,0.8523041096651498,0.9118829503260198,87.61797845458985,324.46011654923893
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.779442604063668,0.8713546444972357,0.4711797323822975,nan,0.8177264511585236,6.750332605838776,1000.0,0.0,nan,0,30719,0,211,0.9080046074459088,0.9216488548589594,0.8456999142964681,0.8283546763658524,204.6724060058594,207.99772171020507,4786.491593754754,494.72621122446884,0.41858755350112914,17.025227817296983,0.9080046074459088,0.9216488548589594,1.6701724253434342,3.6400303168850896,204.6724060058594,207.99772171020507,2.4581155819600964,1.3185461414678035,0.8295648092447325,0.9206969306208395,89.33926086425781,341.4852323024302
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.8284022706127283,0.8724496442079545,0.46456830859184267,nan,0.7345148772001266,6.846670277118683,1000.0,0.0,nan,0,30650,0,208,0.8353772677754764,0.915588590473001,0.9273543556531271,0.824360978603363,188.42460759480795,206.5860969543457,4566.4693159309145,484.06063123808764,0.38518789162238437,15.720856270194053,0.8353772677754764,0.915588590473001,1.7482606471578916,3.678950414866742,188.42460759480795,206.5860969543457,2.520536554241432,1.3018167611574074,0.8301907923986327,0.9110483269240844,87.15662936401367,303.219516077577
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,3.883081711606218,0.873265311717987,0.45854001939296724,nan,0.9191919381801898,6.879176678657532,1000.0,0.0,nan,0,30684,0,210,0.8783046857123485,0.9146880230048638,0.8609002278401301,0.8137135830521584,198.21000084510217,206.33603286743164,4824.646409921301,470.91203627512397,0.5002983808517456,19.87379323139787,0.8783046857123485,0.9146880230048638,1.8088211670767786,3.716914141099681,198.21000084510217,206.33603286743164,2.5720583566859396,1.2918820114543226,0.8165935191190299,0.9124674437334898,87.68787316894532,313.8056211680034
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,3.9393784541308507,0.8740323124329249,0.453285853266716,nan,0.9625614811392391,6.877084448337555,1000.0,0.0,nan,0,31156,0,212,0.8894562621880925,0.9159596120833358,0.8348439160515281,0.8001254698634148,200.81251256606157,206.5859152984619,5116.6077600422395,460.43991925512205,0.37006157811950235,24.335908848643303,0.8894562621880925,0.9159596120833358,1.860338291383664,3.752860757250462,200.81251256606157,206.5859152984619,2.6173472777303832,1.284904537980116,0.8028453481362162,0.9138833127827868,89.46199154663086,358.140631543485
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,3.97803193571566,0.8748293113708496,0.44827002147833506,nan,0.9223524998216068,6.836163277626038,1000.0,0.0,nan,0,31024,0,214,0.8361288555240852,0.9196819455910489,0.8936929843005013,0.7831413999199868,188.5732260311351,207.44888748168944,4960.250538335073,454.9497272880936,0.4818379195297466,11.004892853200436,0.8361288555240852,0.9196819455910489,1.9183082912204057,3.7858222100958927,188.5732260311351,207.44888748168944,2.6653138587706002,1.2772791090582456,0.7918021231203035,0.9131363118070008,89.39104467773437,350.62840921862994
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,4.037600787888262,0.8755819775660832,0.44342463930447895,nan,0.8365364763885736,6.935323288440705,1000.0,0.0,nan,0,31207,0,211,0.8728910273399655,0.9105903943953985,0.8334444370120764,0.783061966598034,196.72532081604004,205.44362495422362,5302.232424354851,445.5213388647963,0.42353415861725807,7.7018663430213925,0.8728910273399655,0.9105903943953985,1.9643815667084876,3.82044456858973,196.72532081604004,205.44362495422362,2.706806767460985,1.2730689211100557,0.7867940014435185,0.9077978486875885,88.47266024780274,347.87997312527375
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,4.089027304772483,0.8761816451946894,0.4393040782213211,nan,0.8821403546766802,7.011057970523834,1000.0,0.0,nan,0,31286,0,218,0.8613420765724018,0.903102990416605,0.8373098116029393,0.7809384742379188,194.3308701948686,203.663853225708,5266.56649928601,437.630059474218,0.34662408991293475,10.7150652089715,0.8613420765724018,0.903102990416605,2.0451405327905543,3.856333740894256,194.3308701948686,203.663853225708,2.769617816032035,1.252094132008426,0.7865248229858037,0.8989645214770895,90.01609957885742,406.7809497582717
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,4.135563039965408,0.8767293107509613,0.435407074491183,nan,1.1162673930327098,6.904533314704895,1000.0,0.0,nan,0,30681,0,207,0.8572800790884242,0.9099346849760714,0.8311628103256226,0.7593721982836723,193.1167335510254,205.28908721923827,5378.4596005111225,426.77284470671947,0.7895417114098867,14.900834880769253,0.8572800790884242,0.9099346849760714,2.079156749207999,3.8905351780183164,193.1167335510254,205.28908721923827,2.8037081207321264,1.2518226791146372,0.7634358178332167,0.9069542355862047,86.75043649291992,299.79216829495476
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,4.182123857196061,0.8773363131284714,0.43174273778994876,nan,1.0167025258907905,6.836150438785553,1000.0,0.0,nan,0,30648,0,208,0.7928583120625768,0.9128219096566454,0.908132805274083,0.7429276043176651,178.79628225473257,205.88689491271973,5116.209697849348,422.79911733116563,0.49705565434235793,14.47665956556797,0.7928583120625768,0.9128219096566454,2.138241789988343,3.9242939466697977,178.79628225473257,205.88689491271973,2.8526626526609253,1.2394432644051425,0.7530105508549113,0.9055001877377586,87.00346130371094,302.14109907654927
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,4.216834224081317,0.8777523096402486,0.42840771228075025,nan,1.008665996293227,6.831654450893402,1000.0,0.0,nan,0,30602,0,208,0.8414238193902842,0.9100447268453151,0.8296062846978506,0.7341567894816399,189.70587666829428,205.3014402770996,5323.967947935151,419.1850856914431,0.3644460861881574,23.58993817806244,0.8414238193902842,0.9100447268453151,2.1812231879966886,3.9584798191476898,189.70587666829428,205.3014402770996,2.892125840457089,1.2323301040877082,0.7395595910976518,0.9061605245365398,86.67351715087891,295.44926502702083
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,4.292121485199918,0.8782073124249776,0.4255733376741409,nan,1.1149044490378837,6.752352039813996,1000.0,0.0,nan,0,32136,0,220,0.8509316420267493,0.9124890997512713,0.8044856398001962,0.7180006378889083,192.0704584536345,205.82779418945313,5530.101876718633,410.34228349996533,0.4961892236833987,4.893836043477059,0.8509316420267493,0.9124890997512713,2.2255469844283007,3.9925389903714343,192.0704584536345,205.82779418945313,2.9323437868055544,1.230140357031758,0.726920615664512,0.9061401242908945,91.16635876464844,418.5215997290433
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,4.335059390259898,0.8787163098653158,0.42257993410031003,nan,1.0267744213342667,6.777775843143463,1000.0,0.0,nan,0,30564,0,210,0.8387614387511041,0.9065174679169645,0.8097408612569174,0.7135904790461063,189.06391270955405,204.45679946899415,5625.536861130383,409.73451715968565,0.5370880365371704,22.920245515406133,0.8387614387511041,0.9065174679169645,2.2632874438437613,4.028972123455134,189.06391270955405,204.45679946899415,2.9695613156883103,1.2279458558878409,0.7190329535108693,0.902682220983048,86.32025369262695,298.90669153100345
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,4.38252343715127,0.8791096438964208,0.4197471429904302,nan,0.7765903944770495,6.6195083689689636,1000.0,0.0,nan,0,30724,0,206,0.8203174336430421,0.9136291362194169,0.8242148930827776,0.6904684850573539,184.84763209025064,206.15979835510254,5891.744807997882,400.75638141359826,0.3966707686583201,18.229682095646858,0.8203174336430421,0.9136291362194169,2.3070357903454655,4.0625279688620255,184.84763209025064,206.15979835510254,3.0092326617520895,1.219118145526621,0.6980390364550194,0.9083473417339616,86.90026251220704,301.7044279573885
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,4.440004707639251,0.8795116444428762,0.41729149560133616,nan,1.0680975128303876,6.604016795158386,1000.0,0.0,nan,0,30061,0,207,0.8154058443922896,0.909812015072209,0.8195087340745059,0.6828336529433727,183.8668670654297,205.3360668182373,5640.188419826257,398.82939222909874,0.3476171412251212,27.090669331550597,0.8154058443922896,0.909812015072209,2.3550285739382675,4.096923070811533,183.8668670654297,205.3360668182373,3.051786372687574,1.209087054537886,0.6899588941397825,0.9048903663637772,86.17949780273437,283.61590212781715
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,4.48113221246689,0.8797539760669072,0.4152695858478546,nan,1.0765788592398167,6.59190981388092,1000.0,0.0,nan,0,31182,0,220,0.8575319227917987,0.9054534859931667,0.7460442843536536,0.6759693209826946,193.5979232788086,204.18343406677246,6073.906018036604,387.31926262464214,0.48590964327255887,9.097296145558357,0.8575319227917987,0.9054534859931667,2.3908988543974656,4.133352803313592,193.5979232788086,204.18343406677246,3.0878804339639165,1.2124902017949826,0.6834773527724403,0.9003190327930203,90.9660739440918,446.47519391561394
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,4.523669826361105,0.8801106441020966,0.4129134965936343,nan,0.9942010778647202,6.538581411838532,1000.0,0.0,nan,0,30448,0,210,0.7731032432156447,0.903674495715606,0.8581413580821111,0.6652901259064674,174.22766817533054,203.79165840148926,5586.0263867088925,389.7813659916961,0.43709136660282427,14.526627007722855,0.7731032432156447,0.903674495715606,2.4327491882181764,4.171237431377281,174.22766817533054,203.79165840148926,3.128144485481818,1.2103387555787477,0.6770603889031029,0.8957053582390826,86.0465827331543,301.14923245110964
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,4.586174280765087,0.8804023110866547,0.4108564500013987,nan,1.1602856457233428,6.4701089191436765,1000.0,0.0,nan,0,30855,0,211,0.7922776112484136,0.902583688510841,0.8180606921513875,0.6535033617913723,178.51978352864583,203.59876274108888,5843.809591318673,382.75761315776674,0.890789798895518,9.878192942738533,0.7922776112484136,0.902583688510841,2.475859293553922,4.209295672880362,178.51978352864583,203.59876274108888,3.169233845284498,1.2079664290887693,0.664984105769978,0.8948879156785785,86.79509860229493,328.4173330026669
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.658750992839047,0.8806129771471024,0.40937888811031975,nan,1.3931668608084968,6.365529744625092,1000.0,0.0,nan,0,31207,0,219,0.791338282857641,0.9035731597351124,0.8075974013494409,0.6384798927605152,178.4936224895975,203.81850784301758,5879.090410428724,386.31161305368005,1.0161436511122661,9.787164036035538,0.791338282857641,0.9035731597351124,2.5099272631847347,4.246512093325532,178.4936224895975,203.81850784301758,3.2045611952410535,1.2184013200480526,0.6559225057539918,0.8919973652589607,89.73810977172852,424.9628041011933
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.736736434293251,0.8809099779526393,0.40749477595090866,nan,0.9617455665554319,6.299626786708831,1000.0,0.0,nan,0,31107,0,209,0.7765298183094141,0.9016239368235571,0.8181514697415488,0.6277630305290223,174.86789485386439,203.4451830291748,5934.225628005441,384.03637758095925,0.8025521763733455,6.177428392469883,0.7765298183094141,0.9016239368235571,2.558696343920359,4.285396733105538,174.86789485386439,203.4451830291748,3.24937649959443,1.213060255770699,0.6402183489821781,0.8934402094441272,86.27437426757812,319.772868616536
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.837528555924427,0.8809603124856948,0.40609210083882014,nan,1.214447968535953,6.253984055519104,1000.0,0.0,nan,0,31009,0,215,0.7615715968740342,0.8981088552435069,0.8292683329847124,0.6193754053115845,171.55168914794922,202.62960960388185,5665.759941673345,379.512329035454,0.42187248667081195,7.954045044183731,0.7615715968740342,0.8981088552435069,2.6246473792479397,4.325512412292957,171.55168914794922,202.62960960388185,3.304993392465947,1.2009071523962815,0.63670601401854,0.8868351366625412,87.2277046508789,355.7722895144221
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.8946849216473245,0.8812026443084081,0.4046068663398425,nan,1.083996132016182,6.06497088432312,1000.0,0.0,nan,0,31099,0,213,0.7761270753797403,0.9034665687091884,0.7949018875757853,0.5971809370815754,174.93301052517361,203.83922119140624,6049.789148713393,382.60571500777513,0.298376868168513,11.584530357122421,0.7761270753797403,0.9034665687091884,2.6887472746256824,4.364859601723539,174.93301052517361,203.83922119140624,3.359192205464825,1.1881942367073208,0.6135065201499047,0.892952298617766,87.83327685546875,370.83469535679217
